ID,DNI,Nombre,Apellido,Carrera,Materias
11,38458554,Pedro,Gomez,Economia,38
12,33260908,Pedro,Perez,Arquitectura,33
1,39376516,Pedro,Perez,Medicina,0
21,47867861,Luis,Diaz,Ingenieria,11
13,46185278,Luis,Perez,Medicina,0
31,33587345,Juan,Lopez,Ingenieria,16
41,41645110,Ana,Diaz,Medicina,20
2,32885191,Juan,Perez,Derecho,21
14,44382123,Ana,Gomez,Economia,14
22,49707376,Juan,Perez,Arquitectura,34
3,38194501,Maria,Diaz,Medicina,39
15,30490764,Ana,Fernandez,Ingenieria,1
23,38916709,Luis,Diaz,Ingenieria,15
4,42793983,Maria,Lopez,Medicina,23
42,30085220,Pedro,Gomez,Ingenieria,7
16,36389629,Pedro,Diaz,Arquitectura,30
32,33809644,Juan,Lopez,Derecho,38
24,37425566,Maria,Gomez,Economia,11
5,46871669,Juan,Perez,Derecho,4
43,48815901,Ana,Gomez,Arquitectura,20
17,39707407,Luis,Fernandez,Arquitectura,26
33,47290335,Juan,Diaz,Derecho,2
25,31475553,Maria,Perez,Economia,34
6,44417340,Juan,Gomez,Ingenieria,20
44,49010716,Luis,Fernandez,Ingenieria,29
18,40311744,Maria,Diaz,Ingenieria,12
34,40027565,Ana,Lopez,Medicina,24
26,34780836,Pedro,Diaz,Arquitectura,13
7,34950887,Maria,Perez,Economia,5
45,33570433,Ana,Perez,Derecho,15
19,49953273,Maria,Gomez,Arquitectura,6
35,46611955,Luis,Perez,Derecho,21
27,35830322,Juan,Lopez,Medicina,12
8,31407165,Luis,Lopez,Arquitectura,9
46,35556255,Ana,Diaz,Derecho,21
20,44733711,Ana,Perez,Derecho,7
36,41525281,Luis,Diaz,Ingenieria,35
28,43087884,Pedro,Lopez,Medicina,37
9,35652988,Pedro,Fernandez,Medicina,37
47,38469876,Pedro,Lopez,Economia,0
37,38698701,Maria,Diaz,Arquitectura,0
29,32995483,Juan,Perez,Arquitectura,21
10,45232913,Ana,Gomez,Derecho,8
48,49978559,Ana,Perez,Arquitectura,18
38,46833529,Juan,Gomez,Arquitectura,27
30,39969460,Pedro,Gomez,Arquitectura,15
49,30219169,Pedro,Fernandez,Ingenieria,7
50,40124366,Pedro,Fernandez,Derecho,39
39,45081334,Maria,Lopez,Economia,36
40,34822489,Juan,Lopez,Arquitectura,28
